x_center_mm,y_center_mm,entries,mean_adc_per_mev,standard_error
-9.5,-0.5,6,97.6887314,1.187380899
-9.5,0.5,3,93.31143373,2.053573082
-9.5,1.5,2,97.71024027,1.639135553
-9.5,2.5,2,90.14002848,1.633386637
-9.5,3.5,3,95.01861826,3.071626175
-9.5,4.5,1,94.42552867,0
-9.5,5.5,3,94.24762194,1.936941805
-9.5,6.5,2,90.92178317,0.8566522601
-9.5,7.5,3,93.49994966,2.283175284
-9.5,8.5,1,97.53050076,0
-9.5,9.5,2,88.93904499,0.5999266006
-9.5,10.5,3,84.45935064,2.090444196
-9.5,11.5,3,84.00197591,0.8768788802
-9.5,12.5,3,83.77780781,0.6966253517
-9.5,13.5,2,85.65134573,0.06243064153
-9.5,14.5,4,90.12504701,1.033278494
-9.5,15.5,3,78.26977959,3.168855092
-9.5,16.5,5,84.2297989,1.279891089
-9.5,17.5,6,83.88256114,1.596928263
-9.5,18.5,0,0,0
-9.5,19.5,5,83.77149345,1.195104549
-8.5,-19.5,4,81.07901825,0.7099278507
-8.5,-18.5,5,83.59335494,0.7089484666
-8.5,-17.5,2,76.07449276,0.8167108216
-8.5,-16.5,2,84.10341726,1.159779079
-8.5,-15.5,2,86.24956277,2.027870846
-8.5,-14.5,3,84.12456544,2.144067071
-8.5,-13.5,0,0,0
-8.5,-12.5,4,87.74302009,2.322235728
-8.5,-11.5,2,87.93495421,2.610356648
-8.5,-10.5,3,89.80692764,3.181271285
-8.5,-9.5,8,92.99627163,1.669654267
-8.5,-8.5,4,91.98200442,1.291858322
-8.5,-7.5,4,93.47422555,1.815291613
-8.5,-6.5,3,96.84448681,0.5049932712
-8.5,-5.5,5,94.28975891,2.092901911
-8.5,-4.5,2,101.9549403,3.668186962
-8.5,-3.5,8,99.48634211,2.115905341
-8.5,-2.5,7,101.7347592,1.227415195
-8.5,-1.5,2,100.7805638,2.148959398
-8.5,-0.5,3,101.1722539,1.324284535
-8.5,0.5,2,102.5108945,0.9186027062
-8.5,1.5,1,97.86401825,0
-8.5,2.5,2,97.6158001,0.5680112708
-8.5,3.5,2,102.1722605,4.28355868
-8.5,4.5,2,95.330106,3.022432057
-8.5,5.5,3,97.10708723,1.127438201
-8.5,6.5,5,91.11763628,1.273909163
-8.5,7.5,2,94.18300576,0.9877197174
-8.5,8.5,6,92.0678501,1.416682589
-8.5,9.5,4,91.20412649,2.182414302
-8.5,10.5,2,88.24649729,0.1624258305
-8.5,11.5,2,86.16098782,4.183587566
-8.5,12.5,1,87.40979789,0
-8.5,13.5,4,85.62715877,2.054071122
-8.5,14.5,2,84.54958171,1.99063999
-8.5,15.5,3,85.42921551,1.895277427
-8.5,16.5,2,86.68095941,0.006146877197
-8.5,17.5,1,94.53479968,0
-8.5,18.5,3,88.07425309,1.496070221
-8.5,19.5,5,84.45244964,0.7747086995
-7.5,-19.5,5,81.43320276,2.101910174
-7.5,-18.5,1,82.00183227,0
-7.5,-17.5,4,82.79378698,1.350540978
-7.5,-16.5,0,0,0
-7.5,-15.5,1,81.5127429,0
-7.5,-14.5,3,87.20697767,1.623282898
-7.5,-13.5,0,0,0
-7.5,-12.5,4,89.50431778,1.748789499
-7.5,-11.5,3,90.47029676,1.17498676
-7.5,-10.5,6,90.14846438,1.952146779
-7.5,-9.5,3,91.05462737,3.585520746
-7.5,-8.5,2,92.00103096,0.1588055258
-7.5,-7.5,3,98.30087688,1.267338698
-7.5,-6.5,4,96.98001072,2.514162129
-7.5,-5.5,3,99.39235069,1.226719793
-7.5,-4.5,2,100.5213456,3.723497557
-7.5,-3.5,5,102.5460389,1.28338003
-7.5,-2.5,4,102.7504285,1.495660969
-7.5,-1.5,3,106.4790854,2.14347612
-7.5,-0.5,7,105.2931869,1.065917746
-7.5,0.5,3,104.5282715,0.4354989858
-7.5,1.5,5,105.1861281,1.46511026
-7.5,2.5,1,102.858835,0
