x_center_mm,y_center_mm,entries,mean_adc_per_mev,standard_error
-1.5,2.5,10,251.129022,2.597566237
-1.5,3.5,12,231.7842749,3.33504013
-1.5,4.5,12,219.7421916,2.231330433
-1.5,5.5,8,211.3603433,4.101941027
-1.5,6.5,9,204.7744603,1.817130811
-1.5,7.5,20,207.6139869,2.001118078
-1.5,8.5,16,199.938444,1.432760711
-1.5,9.5,13,202.9808662,2.112142417
-0.5,-9.5,11,198.3851664,2.153251557
-0.5,-8.5,8,204.0660397,1.884000049
-0.5,-7.5,25,204.5008924,1.666951036
-0.5,-6.5,9,212.1910522,3.515363163
-0.5,-5.5,9,214.4730366,4.334739422
-0.5,-4.5,13,218.3425251,2.991199802
-0.5,-3.5,14,233.727862,3.549208685
-0.5,-2.5,8,264.2262889,4.29769553
-0.5,-1.5,19,264.2777988,2.992431849
-0.5,-0.5,13,265.9846442,1.693819332
-0.5,0.5,12,272.0594975,3.659355128
-0.5,1.5,13,262.5927528,2.782703695
-0.5,2.5,12,254.8673614,2.567716446
-0.5,3.5,9,235.1221675,2.535456936
-0.5,4.5,14,225.1570391,2.264847551
-0.5,5.5,11,216.9815696,3.24089946
-0.5,6.5,11,211.162434,2.395793815
-0.5,7.5,14,204.5857955,2.768986563
-0.5,8.5,11,202.0838092,1.766527385
-0.5,9.5,12,202.8168609,3.036597567
0.5,-9.5,12,200.8295405,1.987237111
0.5,-8.5,8,198.5171241,2.336020248
0.5,-7.5,9,204.3511917,4.336597832
0.5,-6.5,17,211.0868586,2.425047143
0.5,-5.5,18,214.8594354,1.789546211
0.5,-4.5,9,222.5951413,2.535525533
0.5,-3.5,13,231.8055832,2.461315967
0.5,-2.5,13,257.2969601,3.687307869
0.5,-1.5,8,264.9876111,4.152437261
0.5,-0.5,13,268.3722728,2.688372753
0.5,0.5,13,276.6703983,3.361613027
0.5,1.5,14,264.9950532,2.208668577
0.5,2.5,6,256.1365087,4.56110311
0.5,3.5,14,235.2989589,1.87019546
0.5,4.5,18,222.024298,2.555132627
0.5,5.5,14,214.3278617,3.203506662
0.5,6.5,15,210.3910169,1.907040976
0.5,7.5,12,206.5263088,2.213624326
0.5,8.5,11,199.5147575,2.457234783
0.5,9.5,15,201.2231682,2.210665736
1.5,-9.5,7,206.3575994,2.609737437
1.5,-8.5,14,205.142947,2.68016149
1.5,-7.5,12,210.3174856,1.636209629
1.5,-6.5,14,202.3972365,2.294479238
1.5,-5.5,17,217.6157988,2.64605249
1.5,-4.5,11,221.5788599,3.626952376
1.5,-3.5,15,229.1444577,3.456354844
1.5,-2.5,15,256.1829597,2.057536347
1.5,-1.5,11,256.9801168,3.626904582
1.5,-0.5,21,261.8200695,2.918131389
1.5,0.5,5,270.8407872,4.219326449
1.5,1.5,18,261.2634349,2.059136967
1.5,2.5,11,253.3765784,3.48698962
1.5,3.5,16,239.5032096,2.168938541
1.5,4.5,9,227.6663195,1.953142706
1.5,5.5,15,211.6591342,2.349379877
1.5,6.5,12,205.1979236,2.860898254
1.5,7.5,15,203.4024367,2.146158864
1.5,8.5,12,201.3558993,2.819597163
1.5,9.5,14,201.7191155,2.653425796
2.5,-9.5,13,202.6744678,1.89028586
2.5,-8.5,5,196.0963793,3.514834835
2.5,-7.5,9,202.9469535,3.072830751
2.5,-6.5,13,201.8690912,1.512914243
2.5,-5.5,9,205.3430509,2.134927172
2.5,-4.5,12,218.7103782,3.242045711
2.5,-3.5,11,229.8183759,2.615998726
2.5,-2.5,12,247.3800274,2.690410661
2.5,-1.5,7,259.115274,5.756124001
2.5,-0.5,11,261.181359,2.115485059
2.5,0.5,19,253.4153609,2.650161055
2.5,1.5,9,252.834694,3.021499101
2.5,2.5,10,241.3843795,3.738202163
2.5,3.5,14,225.1619258,2.317854206
2.5,4.5,7,218.0468608,3.368369461
2.5,5.5,7,211.7737501,2.961774073
2.5,6.5,8,208.9018056,2.285494954
2.5,7.5,10,202.9877255,3.72757961
2.5,8.5,13,204.781365,2.231679468
2.5,9.5,12,198.1315907,2.041888932
3.5,-9.5,10,202.2457303,1.902346777
3.5,-8.5,20,198.8409931,1.582501353
3.5,-7.5,9,200.9684986,3.57990713
3.5,-6.5,6,208.1978346,5.957795354
3.5,-5.5,8,206.6814196,3.166937851
3.5,-4.5,10,217.4302409,2.722188854
3.5,-3.5,14,221.6986482,2.781480413
3.5,-2.5,6,226.9860223,4.383526561
3.5,-1.5,10,235.4153954,2.886369386
3.5,-0.5,12,233.2314922,2.499716066
3.5,0.5,15,238.0841263,2.461037899
3.5,1.5,10,230.4354234,3.126871281
3.5,2.5,6,235.5583723,5.86076405
3.5,3.5,7,221.8157772,3.635067811
3.5,4.5,17,215.1149299,2.123033162
3.5,5.5,11,208.2114329,2.456989787
3.5,6.5,14,207.4554917,2.034895945
3.5,7.5,21,203.8101356,1.829166789
3.5,8.5,15,203.0596347,2.060967269
3.5,9.5,7,197.8717979,3.211805468
4.5,-9.5,18,198.2247552,2.084923882
4.5,-8.5,11,199.5217169,2.466658896
4.5,-7.5,12,197.33667,2.810014025
4.5,-6.5,15,199.9638132,1.428481822
4.5,-5.5,11,202.6788092,2.623820041
4.5,-4.5,22,209.0349088,1.73686324
4.5,-3.5,8,208.1249797,3.452885431
4.5,-2.5,14,218.77717,2.943557895
4.5,-1.5,10,221.2978016,3.419420039
4.5,-0.5,19,224.6510682,1.719549884
4.5,0.5,14,229.1535686,2.573491053
4.5,1.5,16,218.9479635,1.759356081
4.5,2.5,12,216.968283,3.042446656
4.5,3.5,12,212.1087737,2.711085983
4.5,4.5,14,208.4655695,2.397895918
4.5,5.5,13,205.1559412,2.802440299
4.5,6.5,11,204.0049016,3.617185539
4.5,7.5,10,205.1532807,3.266252639
4.5,8.5,6,199.990832,2.004792852
4.5,9.5,21,196.7815557,1.566934703
5.5,-9.5,15,196.5849824,2.059836368
5.5,-8.5,13,200.400078,2.98011573
5.5,-7.5,15,202.2693167,2.033502218
5.5,-6.5,12,199.8155156,2.733647535
5.5,-5.5,13,204.5289289,2.353917725
5.5,-4.5,10,205.7084509,2.743025758
5.5,-3.5,20,208.8379303,2.516578469
5.5,-2.5,18,209.7028664,1.539913259
5.5,-1.5,12,216.1691424,2.870562435
5.5,-0.5,7,218.7510357,2.707540352
5.5,0.5,13,210.7416433,2.395302775
5.5,1.5,18,215.4469763,2.694826477
5.5,2.5,5,214.0857142,4.712907441
5.5,3.5,8,209.540282,3.371822084
5.5,4.5,10,205.7052679,1.49242883
5.5,5.5,11,205.6052277,3.827439034
5.5,6.5,11,202.4442129,2.8012251
5.5,7.5,14,200.2064894,2.648140497
5.5,8.5,15,195.500291,1.631476537
5.5,9.5,12,199.4131481,2.154677469
6.5,-9.5,9,196.9605991,3.722965566
6.5,-8.5,15,196.7442657,2.172426399
6.5,-7.5,18,197.2459717,1.421288163
6.5,-6.5,17,196.6137218,1.585384325
6.5,-5.5,13,200.8500868,1.986570737
6.5,-4.5,15,205.4448395,2.019666147
6.5,-3.5,12,211.1971265,2.061842463
6.5,-2.5,16,205.9228174,2.93148181
6.5,-1.5,5,201.2009894,3.16957957
6.5,-0.5,8,211.7190195,3.428487113
6.5,0.5,17,205.0189187,1.806198897
6.5,1.5,8,214.7373971,1.52354983
6.5,2.5,13,207.9419939,2.762386834
6.5,3.5,11,206.5975664,2.537944401
6.5,4.5,20,202.3561705,2.061839822
6.5,5.5,14,202.2155715,1.876188055
6.5,6.5,9,201.6860053,3.046883454
6.5,7.5,12,192.8970946,2.766985934
6.5,8.5,12,195.433825,2.755547666
6.5,9.5,15,190.8631317,1.859200189
7.5,-9.5,17,195.5030992,1.652224125
7.5,-8.5,10,193.8483656,2.836439718
7.5,-7.5,12,195.9712398,2.086502375
7.5,-6.5,12,195.9947332,2.079976869
7.5,-5.5,16,200.1281922,2.762515249
7.5,-4.5,10,196.5806223,2.616796281
7.5,-3.5,13,200.330831,1.230377795
7.5,-2.5,19,203.7992732,2.436826636
7.5,-1.5,9,201.6884153,2.180531586
